,0,1,2,3,4,5,6,7,8,9,10,11,12
241,Roll Player,(2016),7.5,1–4 Players,60–90 Min,Age: 10+,2.43,"Strategy
View poll and results",Dice Rolling,Open Drafting,Role Playing,Set Collection,Variable Player Powers
242,The Princes of Florence,(2000),7.5,1–5 Players,75–100 Min,Age: 12+,3.24,"Strategy
View poll and results",Auction/Bidding,End Game Bonuses,Grid Coverage,Tile Placement,Victory Points as a Resource
243,Kanban: Driver's Edition,(2014),7.8,2–4 Players,90–120 Min,Age: 12+,4.36,"Strategy
View poll and results",Action Points,Commodity Speculation,Variable Phase Order,Worker Placement,
244,Sushi Go Party!,(2016),7.4,2–8 Players,20 Min,Age: 8+,1.30,"Family
View poll and results",Closed Drafting,End Game Bonuses,Hand Management,Set Collection,Simultaneous Action Selection
245,Fantasy Realms,(2017),7.5,2–6 Players,20 Min,Age: 14+,1.80,"Family
View poll and results",End Game Bonuses,Hand Management,Open Drafting,Set Collection,
246,Flamme Rouge,(2016),7.5,2–4 Players,30–45 Min,Age: 8+,1.68,"Family
View poll and results",Catch the Leader,Hand Management,Modular Board,Programmed Movement,Race
247,"Unmatched: Battle of Legends, Volume One",(2019),7.8,2–4 Players,20–40 Min,Age: 9+,1.93,"Strategy
View poll and results",Action Points,Card Play Conflict Resolution,Hand Management,Line of Sight,Point to Point Movement
248,Detective: A Modern Crime Board Game,(2018),7.7,1–5 Players,120–180 Min,Age: 16+,2.76,"Thematic
View poll and results",Cooperative Game,Narrative Choice / Paragraph,Scenario / Mission / Campaign Game,Solo / Solitaire Game,Storytelling
249,Goa: A New Expedition,(2004),7.6,2–4 Players,90 Min,Age: 12+,3.37,"Strategy
View poll and results",Auction: Once Around,Auction/Bidding,Hand Management,Push Your Luck,Tech Trees / Tech Tracks
250,KLASK,(2014),7.6,2 Players,10 Min,Age: 8+,1.06,"Family,  Party
View poll and results",Real-Time,Score-and-Reset Game,,,
251,Santorini,(2016),7.4,2–4 Players,20 Min,Age: 8+,1.73,"Abstract
View poll and results",Grid Movement,Map Reduction,Race,Square Grid,Team-Based Game
252,Isle of Skye: From Chieftain to King,(2015),7.4,2–5 Players,30–50 Min,Age: 8+,2.25,"Family,  Strategy
View poll and results",Catch the Leader,Commodity Speculation,"I Cut, You Choose",Set Collection,Tile Placement
253,Chronicles of Crime,(2018),7.6,1–4 Players,60–90 Min,Age: 12+,2.06,"Thematic
View poll and results",Cooperative Game,Scenario / Mission / Campaign Game,Solo / Solitaire Game,Storytelling,
254,Glory to Rome,(2005),7.5,2–5 Players,60 Min,Age: 12+,2.93,"Strategy
View poll and results",End Game Bonuses,Follow,Hand Management,Multi-Use Cards,Set Collection
255,Pulsar 2849,(2017),7.7,2–4 Players,60–90 Min,Age: 14+,3.35,"Strategy
View poll and results",Dice Rolling,Open Drafting,Point to Point Movement,Worker Placement with Dice Workers,
256,Clash of Cultures: Monumental Edition,(2021),8.4,2–4 Players,180–240 Min,Age: 14+,3.65,"Strategy
View poll and results",Action Points,Dice Rolling,Grid Movement,Hand Management,Modular Board
257,Hallertau,(2020),7.9,1–4 Players,50–140 Min,Age: 12+,3.30,"Strategy
View poll and results",Advantage Token,Automatic Resource Growth,Contracts,End Game Bonuses,Hand Management
258,1830: Railways & Robber Barons,(1986),7.9,2–7 Players,180–360 Min,Age: 14+,4.16,"Strategy
View poll and results",Auction/Bidding,Hexagon Grid,Investment,Market,Network and Route Building
259,Hero Realms,(2016),7.5,2–4 Players,20 Min,Age: 12+,1.86,"Strategy
View poll and results","Deck, Bag, and Pool Building",Hand Management,Once-Per-Game Abilities,Take That,
260,Shogun,(2006),7.5,3–5 Players,90–120 Min,Age: 12+,3.36,"Strategy
View poll and results",Action Queue,Area Majority / Influence,Area Movement,Auction/Bidding,Cube Tower
261,Samurai,(1998),7.5,2–4 Players,30–60 Min,Age: 10+,2.47,"Strategy
View poll and results",Area Majority / Influence,Hand Management,Hexagon Grid,Once-Per-Game Abilities,Set Collection
262,Camel Up (Second Edition),(2018),7.6,3–8 Players,30–45 Min,Age: 8+,1.46,"Family,  Party
View poll and results",Betting and Bluffing,Dice Rolling,Roll / Spin and Move,Track Movement,
263,Galaxy Trucker,(2007),7.4,2–4 Players,60 Min,Age: 10+,2.33,"Thematic
View poll and results",Dice Rolling,Events,Real-Time,Relative Movement,Team-Based Game
264,Vindication,(2018),7.8,2–5 Players,45–150 Min,Age: 14+,3.08,"Strategy
View poll and results",Area Majority / Influence,Dice Rolling,End Game Bonuses,Hexagon Grid,Map Addition
265,1960: The Making of the President,(2007),7.6,2 Players,90–120 Min,Age: 12+,3.20,"Strategy
View poll and results",Action/Event,Area Majority / Influence,Campaign / Battle Card Driven,Hand Management,Simulation
266,Viticulture,(2013),7.5,2–6 Players,90 Min,Age: 13+,2.93,"Strategy
View poll and results",Contracts,Hand Management,Income,Turn Order: Progressive,Worker Placement
267,Blood on the Clocktower,(2022),8.3,5–20 Players,30–120 Min,Age: 15+,2.97,"Party
View poll and results",Betting and Bluffing,Deduction,Hidden Roles,Negotiation,Prisoner's Dilemma
268,7 Wonders (Second Edition),(2020),7.9,3–7 Players,30 Min,Age: 10+,2.30,"Family,  Strategy
View poll and results",Closed Drafting,Hand Management,Neighbor Scope,Set Collection,Simultaneous Action Selection
269,Endless Winter: Paleoamericans,(2022),7.8,1–4 Players,60–120 Min,Age: 12+,3.28,"Strategy
View poll and results",Area Majority / Influence,"Deck, Bag, and Pool Building",End Game Bonuses,Hand Management,Income
270,Steam,(2009),7.6,3–5 Players,90 Min,Age: 10+,3.46,"Strategy
View poll and results",Auction/Bidding,Loans,Network and Route Building,Ownership,Pick-up and Deliver
271,T.I.M.E Stories,(2015),7.4,2–4 Players,90 Min,Age: 12+,2.59,"Thematic
View poll and results",Cooperative Game,Dice Rolling,Move Through Deck,Narrative Choice / Paragraph,Storytelling
272,Western Legends,(2018),7.6,2–6 Players,60–90 Min,Age: 14+,2.83,"Thematic
View poll and results",Action Points,Area Movement,Betting and Bluffing,Card Play Conflict Resolution,Dice Rolling
273,Tapestry,(2019),7.4,1–5 Players,90–120 Min,Age: 12+,2.92,"Strategy
View poll and results",Area Majority / Influence,Contracts,Dice Rolling,Events,Grid Coverage
274,Great Western Trail: Argentina,(2022),8.5,1–4 Players,75–150 Min,Age: 12+,3.89,"Strategy
View poll and results","Deck, Bag, and Pool Building",Hand Management,Ownership,Set Collection,Solo / Solitaire Game
275,Lewis & Clark: The Expedition,(2013),7.5,1–5 Players,120 Min,Age: 14+,3.33,"Strategy
View poll and results",Action Retrieval,"Deck, Bag, and Pool Building",Delayed Purchase,Hand Management,Open Drafting
276,Bora Bora,(2013),7.6,2–4 Players,60–120 Min,Age: 12+,3.73,"Strategy
View poll and results",Dice Rolling,Set Collection,Worker Placement,Worker Placement with Dice Workers,
277,Kingdomino,(2016),7.3,2–4 Players,15–25 Min,Age: 8+,1.22,"Family
View poll and results",Open Drafting,Tile Placement,Turn Order: Stat-Based,,
278,Arcadia Quest,(2014),7.6,2–4 Players,60 Min,Age: 13+,2.53,"Thematic
View poll and results",Action Retrieval,Dice Rolling,Grid Movement,Line of Sight,Modular Board
279,Battle Line,(2000),7.4,2 Players,30 Min,Age: 12+,1.89,"Strategy
View poll and results",Card Play Conflict Resolution,Hand Management,Melding and Splaying,,
280,Rococo,(2013),7.6,2–5 Players,60–120 Min,Age: 12+,3.08,"Strategy
View poll and results",Action Retrieval,Area Majority / Influence,"Deck, Bag, and Pool Building",Delayed Purchase,Hand Management
281,Forgotten Waters,(2020),7.8,3–7 Players,120–240 Min,Age: 14+,2.11,"Thematic
View poll and results",Dice Rolling,Events,Narrative Choice / Paragraph,Scenario / Mission / Campaign Game,Semi-Cooperative Game
282,Anno 1800: The Board Game,(2020),7.7,2–4 Players,120 Min,Age: 12+,3.15,"Strategy
View poll and results",End Game Bonuses,Hand Management,Race,Tech Trees / Tech Tracks,Variable Set-up
283,Dixit: Odyssey,(2011),7.4,3–12 Players,30 Min,Age: 8+,1.17,"Party
View poll and results",Storytelling,Targeted Clues,Voting,,
284,Seasons,(2012),7.4,2–4 Players,60 Min,Age: 14+,2.78,"Strategy
View poll and results",Closed Drafting,Dice Rolling,Hand Management,Open Drafting,Take That
285,Cryptid,(2018),7.5,3–5 Players,30–50 Min,Age: 10+,2.24,"Family,  Strategy
View poll and results",Deduction,Hexagon Grid,Modular Board,Pattern Recognition,
286,Ethnos,(2017),7.5,2–6 Players,45–60 Min,Age: 14+,2.04,"Strategy
View poll and results",Area Majority / Influence,Hand Management,Open Drafting,Push Your Luck,Set Collection
287,Hive,(2000),7.3,2 Players,20 Min,Age: 9+,2.32,"Abstract
View poll and results",Enclosure,Grid Movement,Hexagon Grid,Pattern Movement,Pieces as Map
288,Imperial,(2006),7.6,2–6 Players,120–180 Min,Age: 13+,3.56,"Strategy
View poll and results",Advantage Token,Area Majority / Influence,Area Movement,Investment,Ownership
289,The Manhattan Project: Energy Empire,(2016),7.8,1–5 Players,60–120 Min,Age: 13+,3.04,"Strategy
View poll and results",Dice Rolling,Die Icon Resolution,End Game Bonuses,Events,Variable Player Powers
290,Indonesia,(2005),7.9,2–5 Players,180–240 Min,Age: 14+,3.99,"Strategy
View poll and results",Auction/Bidding,Pick-up and Deliver,Tech Trees / Tech Tracks,,
291,Marvel United,(2020),7.6,1–4 Players,40 Min,Age: 14+,1.82,"Family
View poll and results",Cooperative Game,Hand Management,Modular Board,Solo / Solitaire Game,Variable Player Powers
292,Monikers,(2015),7.8,4–16 Players,30–60 Min,Age: 17+,1.08,"Party
View poll and results",Acting,Communication Limits,Open Drafting,Role Playing,Singing
293,Star Realms: Frontiers,(2018),7.9,1–4 Players,20–45 Min,Age: 12+,1.86,"Strategy
View poll and results",Cooperative Game,"Deck, Bag, and Pool Building",Open Drafting,Player Elimination,Solo / Solitaire Game
294,Navegador,(2010),7.5,2–5 Players,60–90 Min,Age: 12+,3.08,"Strategy
View poll and results",Advantage Token,Area Movement,Market,Rondel,
295,Power Grid Deluxe: Europe/North America,(2014),8.0,2–6 Players,120 Min,Age: 12+,3.19,"Strategy
View poll and results",Auction: Turn Order Until Pass,Catch the Leader,Income,Market,Network and Route Building
296,Dice Throne: Season Two – Battle Chest,(2018),8.1,2–6 Players,20–40 Min,Age: 8+,2.14,"Family
View poll and results",Dice Rolling,Take That,Team-Based Game,Variable Player Powers,
297,Cthulhu Wars,(2015),7.9,2–4 Players,90–120 Min,Age: 14+,3.15,"Strategy,  Thematic
View poll and results",Action Points,Area Majority / Influence,Area Movement,Dice Rolling,Variable Player Powers
298,Dungeon Petz,(2011),7.4,2–4 Players,90 Min,Age: 13+,3.62,"Strategy,  Thematic
View poll and results",Auction/Bidding,Hand Management,Selection Order Bid,Simultaneous Action Selection,Worker Placement
299,Return to Dark Tower,(2022),8.3,1–4 Players,100–120 Min,Age: 10+,2.65,"Thematic
View poll and results",Area Movement,Cooperative Game,Events,Push Your Luck,Random Production
300,Age of Empires III: The Age of Discovery,(2007),7.5,2–5 Players,90–120 Min,Age: 10+,3.13,"Strategy
View poll and results",Area Majority / Influence,Set Collection,Turn Order: Claim Action,Worker Placement,"Worker Placement, Different Worker Types"
301,Telestrations,(2009),7.4,4–8 Players,30 Min,Age: 12+,1.07,"Party
View poll and results",Drawing,Paper-and-Pencil,,,
302,Space Alert,(2008),7.4,1–5 Players,30 Min,Age: 12+,2.97,"Thematic
View poll and results",Action Queue,Area Movement,Cooperative Game,Elapsed Real Time Ending,Hand Management
303,Onitama,(2014),7.4,2 Players,15–20 Min,Age: 10+,1.66,"Abstract
View poll and results",Grid Movement,Hand Management,Pattern Movement,Square Grid,Static Capture
304,Nemo's War (Second Edition),(2017),7.9,1–4 Players,60–120 Min,Age: 13+,3.26,"Thematic
View poll and results",Action Points,Area Majority / Influence,Area Movement,Cooperative Game,Dice Rolling
305,Oath: Chronicles of Empire & Exile,(2021),7.8,1–6 Players,45–150 Min,Age: 10+,4.10,"Strategy,  Thematic
View poll and results",Action Points,Area Majority / Influence,Area Movement,Dice Rolling,Hand Management
306,Bitoku,(2021),7.9,1–4 Players,120 Min,Age: 12+,3.71,"Strategy
View poll and results","Deck, Bag, and Pool Building",End Game Bonuses,Hand Management,Income,Set Collection
307,Imperial Settlers,(2014),7.3,1–4 Players,45–90 Min,Age: 10+,2.77,"Strategy
View poll and results",Closed Drafting,Contracts,End Game Bonuses,Hand Management,Income
308,Fury of Dracula (Third/Fourth Edition),(2015),7.4,2–5 Players,120–180 Min,Age: 14+,3.28,"Thematic
View poll and results",Card Play Conflict Resolution,Hand Management,Hidden Movement,Point to Point Movement,Resource to Move
309,Glass Road,(2013),7.5,1–4 Players,20–80 Min,Age: 13+,2.95,"Strategy
View poll and results",Automatic Resource Growth,End Game Bonuses,Follow,Once-Per-Game Abilities,Open Drafting
310,Kemet: Blood and Sand,(2021),8.0,2–5 Players,90–120 Min,Age: 13+,3.23,"Strategy
View poll and results",Action Points,Area Majority / Influence,Area Movement,Card Play Conflict Resolution,Hand Management
311,Summoner Wars: Master Set,(2011),7.5,2–4 Players,30–60 Min,Age: 9+,2.52,"Customizable,  Strategy
View poll and results",Deck Construction,Dice Rolling,Grid Movement,Hand Management,Stat Check Resolution
312,Imperial 2030,(2009),7.7,2–6 Players,120–180 Min,Age: 12+,3.51,"Strategy
View poll and results",Area Majority / Influence,Area Movement,Investment,Ownership,Rondel
313,Aeon's End: The New Age,(2019),8.5,1–4 Players,60 Min,Age: 14+,2.95,"Strategy
View poll and results",Cooperative Game,"Deck, Bag, and Pool Building",Hand Management,Open Drafting,Variable Phase Order
314,The King's Dilemma,(2019),7.8,3–5 Players,45–60 Min,Age: 14+,2.26,"Thematic
View poll and results",Bias,Bribery,End Game Bonuses,Legacy Game,Storytelling
315,Arkham Horror (Third Edition),(2018),7.7,1–6 Players,120–180 Min,Age: 14+,3.35,"Thematic
View poll and results",Cooperative Game,Dice Rolling,Modular Board,Point to Point Movement,Stat Check Resolution
316,Runewars,(2010),7.6,2–4 Players,180–240 Min,Age: 14+,3.79,"Strategy,  Thematic
View poll and results",Area Majority / Influence,Auction/Bidding,Grid Movement,Hexagon Grid,Modular Board
317,Mind MGMT: The Psychic Espionage “Game.”,(2021),8.0,1–5 Players,45–75 Min,Age: 13+,2.90,"Strategy
View poll and results",Deduction,Grid Movement,Hidden Movement,Paper-and-Pencil,Point to Point Movement
318,Alien Frontiers,(2010),7.4,2–4 Players,90 Min,Age: 13+,2.57,"Strategy
View poll and results",Area Majority / Influence,Dice Rolling,Open Drafting,Worker Placement with Dice Workers,
319,Century: Spice Road,(2017),7.3,2–5 Players,30–45 Min,Age: 8+,1.80,"Family
View poll and results",Action Retrieval,Auction: Dutch,Contracts,"Deck, Bag, and Pool Building",Hand Management
320,Heaven & Ale,(2017),7.5,2–4 Players,60–90 Min,Age: 12+,3.20,"Strategy
View poll and results",Grid Coverage,Highest-Lowest Scoring,Once-Per-Game Abilities,Rondel,Tile Placement
321,Tikal,(1999),7.3,2–4 Players,90 Min,Age: 10+,2.78,"Strategy
View poll and results",Action Points,Area Majority / Influence,Auction/Bidding,Grid Movement,Hexagon Grid
322,Survive: Escape from Atlantis!,(1982),7.3,2–4 Players,45–60 Min,Age: 8+,1.69,"Family
View poll and results",Action Points,Dice Rolling,Grid Movement,Hexagon Grid,Map Reduction
323,Bruges,(2013),7.4,2–4 Players,60 Min,Age: 13+,2.75,"Strategy
View poll and results",Dice Rolling,Hand Management,,,
324,Love Letter,(2012),7.2,2–4 Players,20 Min,Age: 10+,1.19,"Family
View poll and results",Deduction,Hand Management,Player Elimination,Score-and-Reset Game,Take That
325,Tiny Epic Galaxies,(2015),7.3,1–5 Players,30–45 Min,Age: 14+,2.15,"Strategy
View poll and results",Contracts,Dice Rolling,End Game Bonuses,Follow,Open Drafting
326,For Sale,(1997),7.2,3–6 Players,30 Min,Age: 10+,1.25,"Family
View poll and results",Auction: Sealed Bid,Auction: Turn Order Until Pass,Auction/Bidding,Hand Management,Selection Order Bid
327,Exit: The Game – The Abandoned Cabin,(2016),7.4,1–6 Players,60–120 Min,Age: 12+,2.55,"Thematic
View poll and results",Cooperative Game,,,,
328,Lost Cities,(1999),7.2,2 Players,30 Min,Age: 10+,1.48,"Family
View poll and results",Hand Management,Melding and Splaying,Ordering,Push Your Luck,Score-and-Reset Game
329,Antiquity,(2004),7.9,2–4 Players,120–180 Min,Age: 14+,4.32,"Strategy
View poll and results",Grid Coverage,Hexagon Grid,Modular Board,Square Grid,Tile Placement
330,Acquire,(1963),7.3,2–6 Players,90 Min,Age: 12+,2.50,"Strategy
View poll and results",Hand Management,Investment,Market,Square Grid,Stock Holding
331,Bunny Kingdom,(2017),7.4,2–4 Players,40–60 Min,Age: 12+,2.30,"Family,  Strategy
View poll and results",Area Majority / Influence,Closed Drafting,End Game Bonuses,Grid Coverage,Square Grid
332,Destinies,(2021),7.8,1–3 Players,90–150 Min,Age: 14+,1.91,"Thematic
View poll and results",Dice Rolling,Map Addition,Role Playing,Solo / Solitaire Game,Storytelling
333,Burgle Bros.,(2015),7.4,1–4 Players,45–90 Min,Age: 12+,2.31,"Family,  Thematic
View poll and results",Action Points,Cooperative Game,Dice Rolling,Grid Movement,Map Addition
334,The Great Zimbabwe,(2012),7.8,2–5 Players,90–150 Min,Age: 14+,3.69,"Strategy
View poll and results",Auction/Bidding,Mancala,Modular Board,Network and Route Building,Open Drafting
335,Awkward Guests: The Walton Case,(2016),7.6,1–8 Players,45–75 Min,Age: 12+,2.32,"Family
View poll and results",Deduction,Hand Management,Trading,,
336,Long Shot: The Dice Game,(2022),7.7,1–8 Players,25 Min,Age: 14+,1.91,"Family
View poll and results",Betting and Bluffing,Dice Rolling,End Game Bonuses,Paper-and-Pencil,Solo / Solitaire Game
337,Dead of Winter: The Long Night,(2016),7.5,2–5 Players,60–120 Min,Age: 14+,3.35,"Thematic
View poll and results",Action Points,Area Movement,Cooperative Game,Dice Rolling,Hand Management
338,Small World,(2009),7.2,2–5 Players,40–80 Min,Age: 8+,2.35,"Family,  Strategy
View poll and results",Area Majority / Influence,Area Movement,Dice Rolling,Hidden Victory Points,Increase Value of Unchosen Resources
339,Above and Below,(2015),7.4,2–4 Players,90 Min,Age: 13+,2.52,"Thematic
View poll and results",Action Points,Dice Rolling,Narrative Choice / Paragraph,Set Collection,Storytelling
340,Arboretum,(2015),7.3,2–4 Players,30 Min,Age: 8+,2.14,"Family
View poll and results",Hand Management,Pattern Building,Set Collection,Tile Placement,
341,Bonfire,(2020),7.7,1–4 Players,70–100 Min,Age: 12+,3.64,"Strategy
View poll and results",Market,Pattern Building,Point to Point Movement,Set Collection,Solo / Solitaire Game
342,The King Is Dead: Second Edition,(2020),7.7,2–4 Players,30–45 Min,Age: 14+,2.12,"Strategy
View poll and results",Area Majority / Influence,Campaign / Battle Card Driven,Communication Limits,Hand Management,Map Reduction
343,Nusfjord,(2017),7.6,1–5 Players,20–100 Min,Age: 12+,2.84,"Strategy
View poll and results",Worker Placement,,,,
344,Merchants & Marauders,(2010),7.4,2–4 Players,180 Min,Age: 13+,3.25,"Thematic
View poll and results",Action Points,Area Movement,Bias,Dice Rolling,Events
345,BattleLore: Second Edition,(2013),7.7,2 Players,45–90 Min,Age: 14+,2.71,"Wargames
View poll and results",Campaign / Battle Card Driven,Command Cards,Dice Rolling,Grid Movement,Modular Board
346,Lords of Hellas,(2018),7.7,1–4 Players,60–90 Min,Age: 14+,3.34,"Strategy
View poll and results",Area Majority / Influence,Area Movement,Card Play Conflict Resolution,Dice Rolling,Hand Management
347,Neuroshima Hex! 3.0,(2006),7.4,1–4 Players,30 Min,Age: 13+,2.61,"Strategy
View poll and results",Area Majority / Influence,Connections,Grid Movement,Hand Management,Hexagon Grid
348,Dungeon Lords,(2009),7.4,2–4 Players,90 Min,Age: 12+,3.57,"Strategy
View poll and results",Action Queue,Hand Management,Simultaneous Action Selection,Tile Placement,Worker Placement
349,Tiletum,(2022),8.0,1–4 Players,60–100 Min,Age: 14+,3.41,"Strategy
View poll and results",Action Points,Contracts,Dice Rolling,End Game Bonuses,Point to Point Movement
350,Chinatown,(1999),7.4,3–5 Players,60 Min,Age: 12+,2.25,"Family,  Strategy
View poll and results",Enclosure,Income,Investment,Negotiation,Set Collection
351,Tekhenu: Obelisk of the Sun,(2020),7.7,1–4 Players,60–120 Min,Age: 14+,4.06,"Strategy
View poll and results",Action Drafting,Income,Open Drafting,Pattern Building,Turn Order: Stat-Based
352,Bärenpark,(2017),7.3,2–4 Players,30–45 Min,Age: 8+,1.66,"Family
View poll and results",Grid Coverage,Open Drafting,Set Collection,Tile Placement,
353,Mission: Red Planet (Second Edition),(2015),7.4,2–6 Players,45–90 Min,Age: 14+,2.21,"Strategy
View poll and results",Action Retrieval,Area Majority / Influence,Area Movement,Hand Management,Simultaneous Action Selection
354,Sid Meier's Civilization: The Board Game,(2010),7.4,2–4 Players,120–240 Min,Age: 13+,3.90,"Strategy
View poll and results","Deck, Bag, and Pool Building",Grid Movement,Hand Management,Modular Board,Open Drafting
355,Star Wars: The Deckbuilding Game,(2023),8.0,2 Players,30 Min,Age: 12+,2.02,"Strategy
View poll and results","Deck, Bag, and Pool Building",Open Drafting,Tug of War,,
356,Letters from Whitechapel,(2011),7.4,2–6 Players,90 Min,Age: 14+,2.64,"Strategy,  Thematic
View poll and results",Hidden Movement,Memory,Point to Point Movement,Secret Unit Deployment,Team-Based Game
357,Skull King,(2013),7.5,2–8 Players,30 Min,Age: 8+,1.69,"Family
View poll and results",Predictive Bid,Rock-Paper-Scissors,Trick-taking,,
358,Dixit,(2008),7.2,3–8 Players,30 Min,Age: 8+,1.20,"Party
View poll and results",Race,Storytelling,Targeted Clues,Voting,
359,Imperium: Classics,(2021),7.7,1–4 Players,60–120 Min,Age: 14+,3.57,"Strategy
View poll and results","Deck, Bag, and Pool Building",End Game Bonuses,Hand Management,Market,Move Through Deck
360,Innovation,(2010),7.3,2–4 Players,45–60 Min,Age: 12+,2.76,"Strategy
View poll and results",Advantage Token,Hand Management,Layering,Melding and Splaying,Take That
361,Harry Potter: Hogwarts Battle,(2016),7.4,2–4 Players,30–60 Min,Age: 11+,2.07,"Family,  Thematic
View poll and results",Cooperative Game,"Deck, Bag, and Pool Building",Scenario / Mission / Campaign Game,Variable Player Powers,
362,Mysterium,(2015),7.2,2–7 Players,42 Min,Age: 10+,1.90,"Family,  Thematic
View poll and results",Communication Limits,Cooperative Game,Deduction,Finale Ending,Hand Management
363,Takenoko,(2011),7.2,2–4 Players,45 Min,Age: 8+,1.98,"Family
View poll and results",Action Points,Contracts,Dice Rolling,End Game Bonuses,Grid Movement
364,Hannibal: Rome vs. Carthage,(1996),7.8,2 Players,40–200 Min,Age: 12+,3.45,"Wargames
View poll and results",Area Majority / Influence,Campaign / Battle Card Driven,Dice Rolling,Events,Point to Point Movement
365,Gizmos,(2018),7.4,2–4 Players,40–50 Min,Age: 14+,2.00,"Family
View poll and results",Action Queue,Contracts,Open Drafting,,
366,Star Wars: Armada,(2015),7.8,2 Players,120 Min,Age: 14+,3.16,"Thematic,  Wargames
View poll and results",Action Queue,Critical Hits and Failures,Dice Rolling,Line of Sight,Movement Template
367,Ghost Stories,(2008),7.3,1–4 Players,60 Min,Age: 12+,2.90,"Strategy
View poll and results",Cooperative Game,Dice Rolling,Grid Movement,Modular Board,Move Through Deck
368,Cloudspire,(2019),8.2,1–4 Players,90–180 Min,Age: 13+,4.36,"Strategy
View poll and results",Action Queue,Bias,Cooperative Game,Dice Rolling,Events
369,Agricola: All Creatures Big and Small,(2012),7.3,2 Players,30 Min,Age: 13+,2.35,"Strategy
View poll and results",Automatic Resource Growth,Enclosure,Increase Value of Unchosen Resources,Tile Placement,Worker Placement
370,51st State: Master Set,(2016),7.6,1–4 Players,60–90 Min,Age: 14+,2.90,"Strategy
View poll and results",Hand Management,Open Drafting,Variable Phase Order,Variable Player Powers,Worker Placement
371,Raiders of Scythia,(2020),7.8,1–4 Players,60–80 Min,Age: 12+,2.71,"Strategy
View poll and results",Contracts,Dice Rolling,Hand Management,Open Drafting,Solo / Solitaire Game
372,So Clover!,(2021),7.6,3–6 Players,30 Min,Age: 10+,1.09,"Party
View poll and results",Communication Limits,Cooperative Game,,,
373,The Resistance,(2009),7.2,5–10 Players,30 Min,Age: 13+,1.59,"Party
View poll and results",Hidden Roles,Memory,Roles with Asymmetric Information,Simultaneous Action Selection,Team-Based Game
374,Ginkgopolis,(2012),7.5,1–5 Players,45 Min,Age: 13+,2.91,"Strategy
View poll and results",Area Majority / Influence,Layering,Multi-Use Cards,Open Drafting,Simultaneous Action Selection
375,Altiplano,(2017),7.5,2–5 Players,60–120 Min,Age: 12+,3.30,"Strategy
View poll and results",Action Points,Contracts,"Deck, Bag, and Pool Building",Modular Board,Open Drafting
376,Love Letter,(2019),7.5,2–6 Players,20 Min,Age: 10+,1.13,"Family,  Party
View poll and results",Hand Management,Player Elimination,Score-and-Reset Game,,
377,San Juan,(2004),7.2,2–4 Players,45–60 Min,Age: 10+,2.29,"Strategy
View poll and results",Action Drafting,Follow,Hand Management,Multi-Use Cards,Set Collection
378,Furnace,(2020),7.4,2–4 Players,30–60 Min,Age: 12+,2.30,"Strategy
View poll and results",Auction Compensation,Auction: Fixed Placement,Auction: Multiple Lot,Auction/Bidding,Constrained Bidding
379,Mage Wars Arena,(2012),7.6,2 Players,90 Min,Age: 13+,3.68,"Customizable
View poll and results",Deck Construction,Dice Rolling,Grid Movement,Line of Sight,Simultaneous Action Selection
380,Blood Bowl: Team Manager – The Card Game,(2011),7.4,2–4 Players,60–120 Min,Age: 14+,2.33,"Thematic
View poll and results",Area Majority / Influence,"Deck, Bag, and Pool Building",Dice Rolling,Hand Management,Open Drafting
381,Newton,(2018),7.6,1–4 Players,90 Min,Age: 14+,3.39,"Strategy
View poll and results",Action Retrieval,Closed Drafting,"Deck, Bag, and Pool Building",End Game Bonuses,Hand Management
382,Carpe Diem,(2018),7.5,2–4 Players,45–75 Min,Age: 10+,2.51,"Strategy
View poll and results",Area Movement,Contracts,End Game Bonuses,Open Drafting,Tile Placement
383,Flamecraft,(2022),7.5,1–5 Players,60 Min,Age: 10+,2.21,"Family,  Strategy
View poll and results",Contracts,End Game Bonuses,Hand Management,Modular Board,Set Collection
384,Abyss,(2014),7.3,2–4 Players,30–60 Min,Age: 14+,2.32,"Strategy
View poll and results",Auction/Bidding,Hand Management,Memory,Open Drafting,Push Your Luck
385,Notre Dame,(2007),7.3,2–5 Players,45–75 Min,Age: 10+,2.74,"Strategy
View poll and results",Area Majority / Influence,Closed Drafting,Point to Point Movement,,
386,Gùgōng,(2018),7.5,1–5 Players,60–90 Min,Age: 12+,3.08,"Strategy
View poll and results",Area Majority / Influence,Hand Management,Set Collection,Worker Placement,
387,The Pillars of the Earth,(2006),7.3,2–4 Players,90–120 Min,Age: 12+,2.82,"Strategy
View poll and results",Events,Market,Turn Order: Random,Worker Placement,"Worker Placement, Different Worker Types"
388,At the Gates of Loyang,(2009),7.4,1–4 Players,60–120 Min,Age: 10+,3.11,"Strategy
View poll and results",Contracts,Income,Loans,Market,Open Drafting
389,Twice as Clever!,(2019),7.5,1–4 Players,30 Min,Age: 10+,2.30,"Family
View poll and results",Dice Rolling,Paper-and-Pencil,Re-rolling and Locking,Solo / Solitaire Game,
390,Pandemic: Fall of Rome,(2018),7.6,1–5 Players,45–60 Min,Age: 8+,2.43,"Strategy
View poll and results",Action Points,Cooperative Game,Dice Rolling,Events,Hand Management
391,Maria,(2009),8.0,2–3 Players,210 Min,Age: 14+,3.56,"Wargames
View poll and results",Auction/Bidding,Hand Management,Negotiation,Point to Point Movement,Secret Unit Deployment
