,0,1,2,3,4,5,6,7,8,9,10,11,12
144,Praga Caput Regni,(2020),7.9,1–4 Players,45–150 Min,Age: 12+,3.75,"Strategy
View poll and results",Area Majority / Influence,Enclosure,End Game Bonuses,Hexagon Grid,Income
145,SCOUT,(2019),7.8,2–5 Players,15 Min,Age: 9+,1.36,"Family
View poll and results",Hand Management,Ladder Climbing,Score-and-Reset Game,,
146,Endeavor: Age of Sail,(2018),7.9,2–5 Players,60–90 Min,Age: 13+,2.84,"Strategy
View poll and results",Area Majority / Influence,Open Drafting,Point to Point Movement,Set Collection,Tech Trees / Tech Tracks
147,Ra,(1999),7.6,2–5 Players,45–60 Min,Age: 12+,2.34,"Strategy
View poll and results",Auction: Once Around,Auction/Bidding,Closed Economy Auction,Constrained Bidding,Hidden Victory Points
148,Hadrian's Wall,(2021),8.0,1–6 Players,30–60 Min,Age: 12+,3.13,"Strategy
View poll and results",Hand Management,Paper-and-Pencil,Solo / Solitaire Game,Tech Trees / Tech Tracks,Worker Placement
149,Stone Age,(2008),7.5,2–4 Players,60–90 Min,Age: 10+,2.46,"Family,  Strategy
View poll and results",Contracts,Dice Rolling,End Game Bonuses,Set Collection,Turn Order: Progressive
150,Legendary Encounters: An Alien Deck Building Game,(2014),7.8,1–5 Players,30–60 Min,Age: 17+,2.70,"Thematic
View poll and results",Cooperative Game,"Deck, Bag, and Pool Building",Delayed Purchase,Events,Hidden Roles
151,Ticket to Ride: Europe,(2005),7.5,2–5 Players,30–60 Min,Age: 8+,1.92,"Family
View poll and results",Connections,Contracts,End Game Bonuses,Hand Management,Network and Route Building
152,Terraforming Mars: Ares Expedition,(2021),7.7,1–4 Players,45–60 Min,Age: 14+,2.91,"Strategy
View poll and results",End Game Bonuses,Follow,Hand Management,Income,Set Collection
153,The Lord of the Rings: The Card Game,(2011),7.7,1–2 Players,30–60 Min,Age: 13+,3.21,"Customizable
View poll and results",Cooperative Game,Deck Construction,Events,Hand Management,Scenario / Mission / Campaign Game
154,Marco Polo II: In the Service of the Khan,(2019),8.0,2–4 Players,60–120 Min,Age: 12+,3.38,"Strategy
View poll and results",Contracts,Dice Rolling,Point to Point Movement,Resource to Move,Variable Player Powers
155,Star Wars: X-Wing Miniatures Game,(2012),7.6,2 Players,30–45 Min,Age: 14+,2.49,"Customizable,  Wargames
View poll and results",Action Queue,Critical Hits and Failures,Dice Rolling,Line of Sight,Movement Template
156,Magic: The Gathering,(1993),7.6,2 Players,20 Min,Age: 13+,3.25,"Customizable
View poll and results",Betting and Bluffing,Closed Drafting,Deck Construction,Hand Management,Income
157,Viscounts of the West Kingdom,(2020),7.9,1–4 Players,60–90 Min,Age: 12+,3.46,"Strategy
View poll and results",Area Majority / Influence,"Deck, Bag, and Pool Building",End Game Bonuses,Hand Management,King of the Hill
158,Tyrants of the Underdark,(2016),7.9,2–4 Players,60 Min,Age: 14+,2.55,"Strategy
View poll and results",Area Majority / Influence,Connections,"Deck, Bag, and Pool Building",Delayed Purchase,Variable Set-up
159,Glen More II: Chronicles,(2019),7.9,2–4 Players,90–120 Min,Age: 12+,3.03,"Strategy
View poll and results",Commodity Speculation,Grid Movement,Market,Set Collection,Tile Placement
160,Istanbul,(2014),7.5,2–5 Players,40–60 Min,Age: 10+,2.58,"Family,  Strategy
View poll and results",Contracts,Dice Rolling,Grid Movement,Modular Board,Network and Route Building
161,Undaunted: Normandy,(2019),7.8,2 Players,45–60 Min,Age: 14+,2.25,"Wargames
View poll and results","Deck, Bag, and Pool Building",Dice Rolling,Hand Management,Modular Board,Open Drafting
162,Xia: Legends of a Drift System,(2014),7.9,3–5 Players,60–180 Min,Age: 12+,3.19,"Strategy,  Thematic
View poll and results",Action Points,Dice Rolling,Grid Movement,Map Addition,Modular Board
163,That's Pretty Clever!,(2018),7.6,1–4 Players,30 Min,Age: 8+,1.88,"Family
View poll and results",Dice Rolling,Highest-Lowest Scoring,Paper-and-Pencil,Re-rolling and Locking,Solo / Solitaire Game
164,Welcome To...,(2018),7.5,1–100 Players,25 Min,Age: 10+,1.84,"Family
View poll and results",Bingo,Contracts,Paper-and-Pencil,Pattern Building,Simultaneous Action Selection
165,War Chest,(2018),7.9,2–4 Players,30 Min,Age: 14+,2.30,"Abstract
View poll and results",Area Majority / Influence,"Deck, Bag, and Pool Building",Delayed Purchase,Grid Movement,Hand Management
166,Splendor Duel,(2022),8.0,2 Players,30 Min,Age: 10+,1.97,"Family,  Strategy
View poll and results",Contracts,Open Drafting,Race,Set Collection,
167,Jaipur,(2009),7.5,2 Players,30 Min,Age: 12+,1.47,"Family
View poll and results",Hand Management,Hidden Victory Points,Market,Open Drafting,Resource Queue
168,Chaos in the Old World,(2009),7.7,3–4 Players,60–120 Min,Age: 13+,3.20,"Strategy,  Thematic
View poll and results",Action Points,Area Majority / Influence,Area Movement,Dice Rolling,Events
169,Radlands,(2021),7.9,2 Players,20–40 Min,Age: 14+,2.26,"Strategy
View poll and results",Action Points,Action Queue,Hand Management,Take That,Variable Player Powers
170,War of the Ring,(2004),7.8,2–4 Players,120 Min,Age: 12+,3.84,"Thematic,  Wargames
View poll and results",Action Points,Area Majority / Influence,Area Movement,Campaign / Battle Card Driven,Dice Rolling
171,Dominion (Second Edition),(2016),7.8,2–4 Players,30 Min,Age: 14+,2.17,"Strategy
View poll and results","Deck, Bag, and Pool Building",Delayed Purchase,Hand Management,Open Drafting,Take That
172,Descent: Journeys in the Dark (Second Edition),(2012),7.6,1–5 Players,120 Min,Age: 14+,3.21,"Thematic
View poll and results",Action Points,Cooperative Game,Dice Rolling,Grid Movement,Hand Management
173,This War of Mine: The Board Game,(2017),7.8,1–6 Players,45–120 Min,Age: 18+,3.30,"Thematic
View poll and results",Action Points,Cooperative Game,Dice Rolling,Events,Grid Movement
174,Nemesis: Lockdown,(2022),8.4,1–5 Players,90–180 Min,Age: 12+,3.89,"Thematic
View poll and results",Campaign / Battle Card Driven,Cooperative Game,Dice Rolling,Hidden Roles,Modular Board
175,Azul: Summer Pavilion,(2019),7.7,2–4 Players,30–45 Min,Age: 8+,2.05,"Abstract,  Family
View poll and results",End Game Bonuses,Open Drafting,Pattern Building,Set Collection,Tile Placement
176,Memoir '44,(2004),7.5,2–8 Players,30–60 Min,Age: 8+,2.28,"Wargames
View poll and results",Area Majority / Influence,Campaign / Battle Card Driven,Command Cards,Dice Rolling,Die Icon Resolution
177,Final Girl,(2021),8.4,1 Players,20–60 Min,Age: 14+,2.63,"Thematic
View poll and results",Dice Rolling,Hand Management,Pick-up and Deliver,Solo / Solitaire Game,Variable Player Powers
178,Unmatched: Cobble & Fog,(2020),8.0,2–4 Players,20–40 Min,Age: 9+,1.98,"Strategy
View poll and results",Action Points,Card Play Conflict Resolution,Hand Management,Point to Point Movement,Team-Based Game
179,Horrified,(2019),7.7,1–5 Players,60 Min,Age: 10+,2.05,"Family,  Thematic
View poll and results",Action Points,Cooperative Game,Dice Rolling,Pick-up and Deliver,Point to Point Movement
180,Cosmic Encounter,(2008),7.5,3–5 Players,60–120 Min,Age: 12+,2.59,"Strategy,  Thematic
View poll and results",Alliances,Card Play Conflict Resolution,Hand Management,Interrupts,Negotiation
181,Too Many Bones: Undertow,(2018),8.7,1–2 Players,60–180 Min,Age: 12+,4.01,"Strategy,  Thematic
View poll and results",Cooperative Game,"Deck, Bag, and Pool Building",Dice Rolling,Die Icon Resolution,Minimap Resolution
182,Railways of the World,(2005),7.7,2–6 Players,120 Min,Age: 10+,3.02,"Strategy
View poll and results",Action Points,Connections,End Game Bonuses,Hexagon Grid,Income
183,Wingspan Asia,(2022),8.4,1–2 Players,40–70 Min,Age: 10+,2.64,"Family,  Strategy
View poll and results",Dice Rolling,End Game Bonuses,Hand Management,Open Drafting,Set Collection
184,Castles of Mad King Ludwig,(2014),7.5,1–4 Players,90 Min,Age: 13+,2.65,"Strategy
View poll and results",End Game Bonuses,Hidden Victory Points,"I Cut, You Choose",Increase Value of Unchosen Resources,Pattern Building
185,The Resistance: Avalon,(2012),7.5,5–10 Players,30 Min,Age: 13+,1.74,"Party
View poll and results",Finale Ending,Hidden Roles,Roles with Asymmetric Information,Simultaneous Action Selection,Team-Based Game
186,Sagrada,(2017),7.5,1–4 Players,30–45 Min,Age: 14+,1.92,"Abstract,  Family
View poll and results",Contracts,Dice Rolling,End Game Bonuses,Grid Coverage,Open Drafting
187,Sekigahara: The Unification of Japan,(2011),8.0,2 Players,180 Min,Age: 14+,2.79,"Wargames
View poll and results",Action Points,Card Play Conflict Resolution,Force Commitment,Hand Management,Point to Point Movement
188,Dune,(2019),8.0,2–6 Players,120–180 Min,Age: 14+,3.99,"Strategy,  Thematic
View poll and results",Alliances,Area Majority / Influence,Area Movement,Auction/Bidding,Bribery
189,The Red Cathedral,(2020),7.7,1–4 Players,80 Min,Age: 10+,2.82,"Strategy
View poll and results",Area Majority / Influence,Contracts,Dice Rolling,End Game Bonuses,Rondel
190,Ora et Labora,(2011),7.7,1–4 Players,60–180 Min,Age: 13+,3.89,"Strategy
View poll and results",Increase Value of Unchosen Resources,Modular Board,Network and Route Building,Worker Placement,"Worker Placement, Different Worker Types"
191,Revive,(2022),8.2,1–4 Players,90–120 Min,Age: 14+,3.41,"Strategy
View poll and results","Deck, Bag, and Pool Building",Map Addition,Scenario / Mission / Campaign Game,Tech Trees / Tech Tracks,Variable Player Powers
192,A Game of Thrones: The Board Game (Second Edition),(2011),7.5,3–6 Players,120–240 Min,Age: 14+,3.72,"Strategy
View poll and results",Advantage Token,Alliances,Area Majority / Influence,Area Movement,Auction: Sealed Bid
193,Ticket to Ride: Nordic Countries,(2007),7.6,2–3 Players,30–60 Min,Age: 8+,1.97,"Family
View poll and results",Hand Management,Network and Route Building,Open Drafting,Push Your Luck,Set Collection
194,Star Wars: Outer Rim,(2019),7.7,1–4 Players,120–180 Min,Age: 14+,2.51,"Thematic
View poll and results",Dice Rolling,Die Icon Resolution,Modular Board,Pick-up and Deliver,Race
195,Dead of Winter: A Crossroads Game,(2014),7.5,2–5 Players,60–120 Min,Age: 13+,3.01,"Thematic
View poll and results",Action Points,Area Movement,Dice Rolling,Hand Management,Narrative Choice / Paragraph
196,Commands & Colors: Ancients,(2006),7.8,2 Players,60 Min,Age: 12+,2.69,"Wargames
View poll and results",Campaign / Battle Card Driven,Command Cards,Dice Rolling,Hand Management,Hexagon Grid
197,Suburbia,(2012),7.5,1–4 Players,60–90 Min,Age: 8+,2.77,"Strategy
View poll and results",Auction: Dutch,Catch the Leader,End Game Bonuses,Hexagon Grid,Open Drafting
198,Captain Sonar,(2016),7.5,2–8 Players,45–60 Min,Age: 14+,2.18,"Party,  Thematic
View poll and results",Grid Movement,Hidden Movement,Line Drawing,Real-Time,Role Playing
199,Space Base,(2018),7.5,2–5 Players,60 Min,Age: 14+,2.12,"Family
View poll and results",Dice Rolling,Open Drafting,Random Production,,
200,Meadow,(2021),7.8,1–4 Players,60–90 Min,Age: 10+,2.23,"Family,  Strategy
View poll and results",Hand Management,Layering,Open Drafting,Set Collection,Solo / Solitaire Game
201,Go,(-2200),7.6,2 Players,30–180 Min,Age: 8+,3.93,"Abstract
View poll and results",Enclosure,Square Grid,,,
202,Village,(2011),7.5,2–4 Players,60–90 Min,Age: 12+,3.07,"Strategy
View poll and results",Area Majority / Influence,Contracts,Set Collection,Turn Order: Claim Action,Worker Placement
203,Clank!: Catacombs,(2022),8.3,2–4 Players,45–90 Min,Age: 13+,2.53,"Family,  Strategy
View poll and results","Deck, Bag, and Pool Building",Delayed Purchase,End Game Bonuses,Movement Points,Open Drafting
204,Earth,(2023),7.7,1–5 Players,45–90 Min,Age: 13+,2.87,"Strategy
View poll and results",Contracts,End Game Bonuses,Follow,Hand Management,Pattern Building
205,Paleo,(2020),7.7,1–4 Players,45–60 Min,Age: 10+,2.63,"Strategy,  Thematic
View poll and results",Action/Event,Cooperative Game,Memory,Scenario / Mission / Campaign Game,Simultaneous Action Selection
206,Welcome to the Moon,(2021),8.0,1–6 Players,25–30 Min,Age: 10+,2.51,"Family,  Thematic
View poll and results",Bingo,Narrative Choice / Paragraph,Paper-and-Pencil,Pattern Building,Race
207,Splendor,(2014),7.4,2–4 Players,30 Min,Age: 10+,1.78,"Family
View poll and results",Contracts,Open Drafting,Race,Set Collection,
208,Tichu,(1991),7.6,4 Players,60 Min,Age: 10+,2.34,"Strategy
View poll and results",Hand Management,Ladder Climbing,Predictive Bid,Team-Based Game,
209,Modern Art,(1992),7.5,3–5 Players,45 Min,Age: 10+,2.29,"Strategy
View poll and results",Auction: English,Auction: Once Around,Auction: Sealed Bid,Auction: Turn Order Until Pass,Auction/Bidding
210,Star Realms: Colony Wars,(2015),7.8,2 Players,20 Min,Age: 12+,1.90,"Strategy
View poll and results","Deck, Bag, and Pool Building",Delayed Purchase,Hand Management,Open Drafting,Take That
211,Carcassonne,(2000),7.4,2–5 Players,30–45 Min,Age: 7+,1.90,"Family
View poll and results",Area Majority / Influence,Map Addition,Pattern Recognition,Tile Placement,
212,Coimbra,(2018),7.6,2–4 Players,60–90 Min,Age: 14+,3.25,"Strategy
View poll and results",Action Drafting,Auction/Bidding,Dice Rolling,End Game Bonuses,Income
213,Planet Unknown,(2022),7.9,1–6 Players,60–80 Min,Age: 10+,2.22,"Strategy
View poll and results",Events,Grid Coverage,Hidden Victory Points,Map Addition,Network and Route Building
214,Darwin's Journey,(2023),8.2,1–4 Players,60–120 Min,Age: 14+,3.85,"Strategy
View poll and results",Contracts,Ownership,Point to Point Movement,Set Collection,Turn Order: Stat-Based
215,Combat Commander: Europe,(2006),7.9,2 Players,60–180 Min,Age: 12+,3.25,"Wargames
View poll and results",Advantage Token,Campaign / Battle Card Driven,Grid Movement,Hexagon Grid,Line of Sight
216,Near and Far,(2017),7.7,2–4 Players,90–120 Min,Age: 13+,2.89,"Thematic
View poll and results",Dice Rolling,Narrative Choice / Paragraph,Network and Route Building,Open Drafting,Scenario / Mission / Campaign Game
217,Hegemony: Lead Your Class to Victory,(2023),8.5,2–4 Players,90–180 Min,Age: 14+,4.12,"Strategy
View poll and results",Action/Event,Hand Management,Simulation,Variable Player Powers,Voting
218,Dinosaur Island,(2017),7.6,1–4 Players,90–120 Min,Age: 8+,3.04,"Strategy
View poll and results",Action Points,Dice Rolling,Income,Set Collection,Tile Placement
219,Ankh: Gods of Egypt,(2021),7.8,2–5 Players,90 Min,Age: 14+,3.09,"Strategy
View poll and results",Action Retrieval,Alliances,Area Majority / Influence,Auction: Sealed Bid,Card Play Conflict Resolution
220,Nations,(2013),7.6,1–5 Players,40–200 Min,Age: 14+,3.55,"Strategy
View poll and results",Events,Open Drafting,Turn Order: Pass Order,Variable Player Powers,
221,Under Falling Skies,(2020),7.7,1 Players,20–40 Min,Age: 12+,2.39,"Strategy
View poll and results",Dice Rolling,Modular Board,Once-Per-Game Abilities,Re-rolling and Locking,Scenario / Mission / Campaign Game
222,Calico,(2020),7.6,1–4 Players,30–45 Min,Age: 10+,2.18,"Abstract,  Family
View poll and results",Enclosure,End Game Bonuses,Grid Coverage,Hexagon Grid,Open Drafting
223,Nidavellir,(2020),7.6,2–5 Players,45 Min,Age: 10+,2.10,"Strategy
View poll and results",Auction: Multiple Lot,Constrained Bidding,Open Drafting,Selection Order Bid,Set Collection
224,Paths of Glory,(1999),8.1,2 Players,480 Min,Age: 14+,3.85,"Wargames
View poll and results",Campaign / Battle Card Driven,Dice Rolling,Point to Point Movement,,
225,Wonderland's War,(2022),8.1,2–5 Players,45–125 Min,Age: 13+,3.00,"Strategy
View poll and results",Area Majority / Influence,"Deck, Bag, and Pool Building",Dice Rolling,Open Drafting,Push Your Luck
226,YINSH,(2003),7.7,2 Players,30–60 Min,Age: 9+,2.66,"Abstract
View poll and results",Catch the Leader,Grid Movement,Pattern Building,,
227,My City,(2020),7.7,2–4 Players,30 Min,Age: 10+,1.99,"Family,  Strategy
View poll and results",Bingo,Catch the Leader,Enclosure,Grid Coverage,Legacy Game
228,Ticket to Ride,(2004),7.4,2–5 Players,30–60 Min,Age: 8+,1.83,"Family
View poll and results",Connections,Contracts,End Game Bonuses,Hand Management,Network and Route Building
229,Cyclades,(2009),7.5,2–5 Players,60–90 Min,Age: 13+,2.82,"Strategy
View poll and results",Area Majority / Influence,Area Movement,Auction: Fixed Placement,Auction/Bidding,Dice Rolling
230,La Granja,(2014),7.6,1–4 Players,90–120 Min,Age: 12+,3.57,"Strategy
View poll and results",Area Majority / Influence,Automatic Resource Growth,Contracts,Dice Rolling,Hand Management
231,Aeon's End: Legacy,(2019),8.1,1–4 Players,45–90 Min,Age: 14+,2.86,"Strategy,  Thematic
View poll and results",Cooperative Game,"Deck, Bag, and Pool Building",Hand Management,Legacy Game,Open Drafting
232,Codenames: Duet,(2017),7.5,2 Players,15–30 Min,Age: 11+,1.36,"Family
View poll and results",Communication Limits,Cooperative Game,Push Your Luck,,
233,Secret Hitler,(2016),7.5,5–10 Players,45 Min,Age: 13+,1.74,"Party
View poll and results",Hidden Roles,Player Elimination,Team-Based Game,Traitor Game,Voting
234,The Taverns of Tiefenthal,(2019),7.6,2–4 Players,60 Min,Age: 12+,2.67,"Family,  Strategy
View poll and results","Deck, Bag, and Pool Building",Dice Rolling,Open Drafting,Worker Placement,Worker Placement with Dice Workers
235,Legendary: A Marvel Deck Building Game,(2012),7.5,1–5 Players,30–60 Min,Age: 14+,2.43,"Thematic
View poll and results","Deck, Bag, and Pool Building",Events,Semi-Cooperative Game,Solo / Solitaire Game,Variable Set-up
236,Deception: Murder in Hong Kong,(2014),7.5,4–12 Players,20 Min,Age: 14+,1.58,"Party
View poll and results",Communication Limits,Deduction,Events,Finale Ending,Hidden Roles
237,Century: Golem Edition,(2017),7.6,2–5 Players,30–45 Min,Age: 8+,1.69,"Family,  Strategy
View poll and results",Action Retrieval,Contracts,"Deck, Bag, and Pool Building",Hand Management,Increase Value of Unchosen Resources
238,Hanamikoji,(2013),7.5,2 Players,15 Min,Age: 10+,1.69,"Family
View poll and results",Area Majority / Influence,Force Commitment,Hand Management,"I Cut, You Choose",Race
239,MicroMacro: Crime City,(2020),7.5,1–4 Players,15–45 Min,Age: 12+,1.11,"Family
View poll and results",Cooperative Game,Deduction,Scenario / Mission / Campaign Game,Solo / Solitaire Game,
240,Zombicide: Black Plague,(2015),7.6,1–6 Players,60–180 Min,Age: 14+,2.49,"Thematic
View poll and results",Cooperative Game,Dice Rolling,Modular Board,Scenario / Mission / Campaign Game,Turn Order: Progressive
241,Roll Player,(2016),7.5,1–4 Players,60–90 Min,Age: 10+,2.43,"Strategy
View poll and results",Dice Rolling,Open Drafting,Role Playing,Set Collection,Variable Player Powers
242,The Princes of Florence,(2000),7.5,1–5 Players,75–100 Min,Age: 12+,3.24,"Strategy
View poll and results",Auction/Bidding,End Game Bonuses,Grid Coverage,Tile Placement,Victory Points as a Resource
243,Kanban: Driver's Edition,(2014),7.8,2–4 Players,90–120 Min,Age: 12+,4.36,"Strategy
View poll and results",Action Points,Commodity Speculation,Variable Phase Order,Worker Placement,
244,Sushi Go Party!,(2016),7.4,2–8 Players,20 Min,Age: 8+,1.30,"Family
View poll and results",Closed Drafting,End Game Bonuses,Hand Management,Set Collection,Simultaneous Action Selection
245,Fantasy Realms,(2017),7.5,2–6 Players,20 Min,Age: 14+,1.80,"Family
View poll and results",End Game Bonuses,Hand Management,Open Drafting,Set Collection,
246,Flamme Rouge,(2016),7.5,2–4 Players,30–45 Min,Age: 8+,1.68,"Family
View poll and results",Catch the Leader,Hand Management,Modular Board,Programmed Movement,Race
247,"Unmatched: Battle of Legends, Volume One",(2019),7.8,2–4 Players,20–40 Min,Age: 9+,1.93,"Strategy
View poll and results",Action Points,Card Play Conflict Resolution,Hand Management,Line of Sight,Point to Point Movement
248,Detective: A Modern Crime Board Game,(2018),7.7,1–5 Players,120–180 Min,Age: 16+,2.76,"Thematic
View poll and results",Cooperative Game,Narrative Choice / Paragraph,Scenario / Mission / Campaign Game,Solo / Solitaire Game,Storytelling
249,Goa: A New Expedition,(2004),7.6,2–4 Players,90 Min,Age: 12+,3.37,"Strategy
View poll and results",Auction: Once Around,Auction/Bidding,Hand Management,Push Your Luck,Tech Trees / Tech Tracks
250,KLASK,(2014),7.6,2 Players,10 Min,Age: 8+,1.06,"Family,  Party
View poll and results",Real-Time,Score-and-Reset Game,,,
251,Santorini,(2016),7.4,2–4 Players,20 Min,Age: 8+,1.73,"Abstract
View poll and results",Grid Movement,Map Reduction,Race,Square Grid,Team-Based Game
252,Isle of Skye: From Chieftain to King,(2015),7.4,2–5 Players,30–50 Min,Age: 8+,2.25,"Family,  Strategy
View poll and results",Catch the Leader,Commodity Speculation,"I Cut, You Choose",Set Collection,Tile Placement
253,Chronicles of Crime,(2018),7.6,1–4 Players,60–90 Min,Age: 12+,2.06,"Thematic
View poll and results",Cooperative Game,Scenario / Mission / Campaign Game,Solo / Solitaire Game,Storytelling,
254,Glory to Rome,(2005),7.5,2–5 Players,60 Min,Age: 12+,2.93,"Strategy
View poll and results",End Game Bonuses,Follow,Hand Management,Multi-Use Cards,Set Collection
255,Pulsar 2849,(2017),7.7,2–4 Players,60–90 Min,Age: 14+,3.35,"Strategy
View poll and results",Dice Rolling,Open Drafting,Point to Point Movement,Worker Placement with Dice Workers,
256,Clash of Cultures: Monumental Edition,(2021),8.4,2–4 Players,180–240 Min,Age: 14+,3.65,"Strategy
View poll and results",Action Points,Dice Rolling,Grid Movement,Hand Management,Modular Board
257,Hallertau,(2020),7.9,1–4 Players,50–140 Min,Age: 12+,3.30,"Strategy
View poll and results",Advantage Token,Automatic Resource Growth,Contracts,End Game Bonuses,Hand Management
258,1830: Railways & Robber Barons,(1986),7.9,2–7 Players,180–360 Min,Age: 14+,4.16,"Strategy
View poll and results",Auction/Bidding,Hexagon Grid,Investment,Market,Network and Route Building
259,Hero Realms,(2016),7.5,2–4 Players,20 Min,Age: 12+,1.86,"Strategy
View poll and results","Deck, Bag, and Pool Building",Hand Management,Once-Per-Game Abilities,Take That,
260,Shogun,(2006),7.5,3–5 Players,90–120 Min,Age: 12+,3.36,"Strategy
View poll and results",Action Queue,Area Majority / Influence,Area Movement,Auction/Bidding,Cube Tower
261,Samurai,(1998),7.5,2–4 Players,30–60 Min,Age: 10+,2.47,"Strategy
View poll and results",Area Majority / Influence,Hand Management,Hexagon Grid,Once-Per-Game Abilities,Set Collection
262,Camel Up (Second Edition),(2018),7.6,3–8 Players,30–45 Min,Age: 8+,1.46,"Family,  Party
View poll and results",Betting and Bluffing,Dice Rolling,Roll / Spin and Move,Track Movement,
263,Galaxy Trucker,(2007),7.4,2–4 Players,60 Min,Age: 10+,2.33,"Thematic
View poll and results",Dice Rolling,Events,Real-Time,Relative Movement,Team-Based Game
264,Vindication,(2018),7.8,2–5 Players,45–150 Min,Age: 14+,3.08,"Strategy
View poll and results",Area Majority / Influence,Dice Rolling,End Game Bonuses,Hexagon Grid,Map Addition
265,1960: The Making of the President,(2007),7.6,2 Players,90–120 Min,Age: 12+,3.20,"Strategy
View poll and results",Action/Event,Area Majority / Influence,Campaign / Battle Card Driven,Hand Management,Simulation
266,Viticulture,(2013),7.5,2–6 Players,90 Min,Age: 13+,2.93,"Strategy
View poll and results",Contracts,Hand Management,Income,Turn Order: Progressive,Worker Placement
267,Blood on the Clocktower,(2022),8.3,5–20 Players,30–120 Min,Age: 15+,2.97,"Party
View poll and results",Betting and Bluffing,Deduction,Hidden Roles,Negotiation,Prisoner's Dilemma
268,7 Wonders (Second Edition),(2020),7.9,3–7 Players,30 Min,Age: 10+,2.30,"Family,  Strategy
View poll and results",Closed Drafting,Hand Management,Neighbor Scope,Set Collection,Simultaneous Action Selection
269,Endless Winter: Paleoamericans,(2022),7.8,1–4 Players,60–120 Min,Age: 12+,3.28,"Strategy
View poll and results",Area Majority / Influence,"Deck, Bag, and Pool Building",End Game Bonuses,Hand Management,Income
270,Steam,(2009),7.6,3–5 Players,90 Min,Age: 10+,3.46,"Strategy
View poll and results",Auction/Bidding,Loans,Network and Route Building,Ownership,Pick-up and Deliver
271,T.I.M.E Stories,(2015),7.4,2–4 Players,90 Min,Age: 12+,2.59,"Thematic
View poll and results",Cooperative Game,Dice Rolling,Move Through Deck,Narrative Choice / Paragraph,Storytelling
272,Western Legends,(2018),7.6,2–6 Players,60–90 Min,Age: 14+,2.83,"Thematic
View poll and results",Action Points,Area Movement,Betting and Bluffing,Card Play Conflict Resolution,Dice Rolling
273,Tapestry,(2019),7.4,1–5 Players,90–120 Min,Age: 12+,2.92,"Strategy
View poll and results",Area Majority / Influence,Contracts,Dice Rolling,Events,Grid Coverage
274,Great Western Trail: Argentina,(2022),8.5,1–4 Players,75–150 Min,Age: 12+,3.89,"Strategy
View poll and results","Deck, Bag, and Pool Building",Hand Management,Ownership,Set Collection,Solo / Solitaire Game
275,Lewis & Clark: The Expedition,(2013),7.5,1–5 Players,120 Min,Age: 14+,3.33,"Strategy
View poll and results",Action Retrieval,"Deck, Bag, and Pool Building",Delayed Purchase,Hand Management,Open Drafting
276,Bora Bora,(2013),7.6,2–4 Players,60–120 Min,Age: 12+,3.73,"Strategy
View poll and results",Dice Rolling,Set Collection,Worker Placement,Worker Placement with Dice Workers,
277,Kingdomino,(2016),7.3,2–4 Players,15–25 Min,Age: 8+,1.22,"Family
View poll and results",Open Drafting,Tile Placement,Turn Order: Stat-Based,,
278,Arcadia Quest,(2014),7.6,2–4 Players,60 Min,Age: 13+,2.53,"Thematic
View poll and results",Action Retrieval,Dice Rolling,Grid Movement,Line of Sight,Modular Board
279,Battle Line,(2000),7.4,2 Players,30 Min,Age: 12+,1.89,"Strategy
View poll and results",Card Play Conflict Resolution,Hand Management,Melding and Splaying,,
280,Rococo,(2013),7.6,2–5 Players,60–120 Min,Age: 12+,3.08,"Strategy
View poll and results",Action Retrieval,Area Majority / Influence,"Deck, Bag, and Pool Building",Delayed Purchase,Hand Management
281,Forgotten Waters,(2020),7.8,3–7 Players,120–240 Min,Age: 14+,2.11,"Thematic
View poll and results",Dice Rolling,Events,Narrative Choice / Paragraph,Scenario / Mission / Campaign Game,Semi-Cooperative Game
282,Anno 1800: The Board Game,(2020),7.7,2–4 Players,120 Min,Age: 12+,3.15,"Strategy
View poll and results",End Game Bonuses,Hand Management,Race,Tech Trees / Tech Tracks,Variable Set-up
283,Dixit: Odyssey,(2011),7.4,3–12 Players,30 Min,Age: 8+,1.17,"Party
View poll and results",Storytelling,Targeted Clues,Voting,,
284,Seasons,(2012),7.4,2–4 Players,60 Min,Age: 14+,2.78,"Strategy
View poll and results",Closed Drafting,Dice Rolling,Hand Management,Open Drafting,Take That
285,Cryptid,(2018),7.5,3–5 Players,30–50 Min,Age: 10+,2.24,"Family,  Strategy
View poll and results",Deduction,Hexagon Grid,Modular Board,Pattern Recognition,
286,Ethnos,(2017),7.5,2–6 Players,45–60 Min,Age: 14+,2.04,"Strategy
View poll and results",Area Majority / Influence,Hand Management,Open Drafting,Push Your Luck,Set Collection
287,Hive,(2000),7.3,2 Players,20 Min,Age: 9+,2.32,"Abstract
View poll and results",Enclosure,Grid Movement,Hexagon Grid,Pattern Movement,Pieces as Map
288,Imperial,(2006),7.6,2–6 Players,120–180 Min,Age: 13+,3.56,"Strategy
View poll and results",Advantage Token,Area Majority / Influence,Area Movement,Investment,Ownership
289,The Manhattan Project: Energy Empire,(2016),7.8,1–5 Players,60–120 Min,Age: 13+,3.04,"Strategy
View poll and results",Dice Rolling,Die Icon Resolution,End Game Bonuses,Events,Variable Player Powers
290,Indonesia,(2005),7.9,2–5 Players,180–240 Min,Age: 14+,3.99,"Strategy
View poll and results",Auction/Bidding,Pick-up and Deliver,Tech Trees / Tech Tracks,,
