name,published_year,avg_rating,recc_age,weight,game_type,mech_1,mech_2,mech_3,mech_4,mech_5,rank,min_player,max_player,min_playtime,max_playtime
Final Girl,2021,8.4, 14,2.63,Thematic,Dice Rolling,Hand Management,Pick-up and Deliver,Solo / Solitaire Game,Variable Player Powers,178,1,1,20,60
Unmatched: Cobble & Fog,2020,8.0, 9,1.98,Strategy,Action Points,Card Play Conflict Resolution,Hand Management,Point to Point Movement,Team-Based Game,179,2,4,20,40
Horrified,2019,7.7, 10,2.05,Family,Action Points,Cooperative Game,Dice Rolling,Pick-up and Deliver,Point to Point Movement,180,1,5,60,60
Cosmic Encounter,2008,7.5, 12,2.59,Strategy,Alliances,Card Play Conflict Resolution,Hand Management,Interrupts,Negotiation,181,3,5,60,120
Too Many Bones: Undertow,2018,8.7, 12,4.01,Strategy,Cooperative Game,"Deck, Bag, and Pool Building",Dice Rolling,Die Icon Resolution,Minimap Resolution,182,1,2,60,180
Railways of the World,2005,7.7, 10,3.02,Strategy,Action Points,Connections,End Game Bonuses,Hexagon Grid,Income,183,2,6,120,120
Wingspan Asia,2022,8.4, 10,2.64,Family,Dice Rolling,End Game Bonuses,Hand Management,Open Drafting,Set Collection,184,1,2,40,70
Castles of Mad King Ludwig,2014,7.5, 13,2.65,Strategy,End Game Bonuses,Hidden Victory Points,"I Cut, You Choose",Increase Value of Unchosen Resources,Pattern Building,185,1,4,90,90
The Resistance: Avalon,2012,7.5, 13,1.74,Party,Finale Ending,Hidden Roles,Roles with Asymmetric Information,Simultaneous Action Selection,Team-Based Game,186,5,10,30,30
Sagrada,2017,7.5, 14,1.92,Abstract,Contracts,Dice Rolling,End Game Bonuses,Grid Coverage,Open Drafting,187,1,4,30,45
Sekigahara: The Unification of Japan,2011,8.0, 14,2.79,Wargames,Action Points,Card Play Conflict Resolution,Force Commitment,Hand Management,Point to Point Movement,188,2,2,180,180
Dune,2019,8.0, 14,3.99,Strategy,Alliances,Area Majority / Influence,Area Movement,Auction/Bidding,Bribery,189,2,6,120,180
The Red Cathedral,2020,7.7, 10,2.82,Strategy,Area Majority / Influence,Contracts,Dice Rolling,End Game Bonuses,Rondel,190,1,4,80,80
Ora et Labora,2011,7.7, 13,3.89,Strategy,Increase Value of Unchosen Resources,Modular Board,Network and Route Building,Worker Placement,"Worker Placement, Different Worker Types",191,1,4,60,180
Revive,2022,8.2, 14,3.41,Strategy,"Deck, Bag, and Pool Building",Map Addition,Scenario / Mission / Campaign Game,Tech Trees / Tech Tracks,Variable Player Powers,192,1,4,90,120
A Game of Thrones: The Board Game (Second Edition),2011,7.5, 14,3.72,Strategy,Advantage Token,Alliances,Area Majority / Influence,Area Movement,Auction: Sealed Bid,193,3,6,120,240
Ticket to Ride: Nordic Countries,2007,7.6, 8,1.97,Family,Hand Management,Network and Route Building,Open Drafting,Push Your Luck,Set Collection,194,2,3,30,60
Star Wars: Outer Rim,2019,7.7, 14,2.51,Thematic,Dice Rolling,Die Icon Resolution,Modular Board,Pick-up and Deliver,Race,195,1,4,120,180
Dead of Winter: A Crossroads Game,2014,7.5, 13,3.01,Thematic,Action Points,Area Movement,Dice Rolling,Hand Management,Narrative Choice / Paragraph,196,2,5,60,120
Commands & Colors: Ancients,2006,7.8, 12,2.69,Wargames,Campaign / Battle Card Driven,Command Cards,Dice Rolling,Hand Management,Hexagon Grid,197,2,2,60,60
Suburbia,2012,7.5, 8,2.77,Strategy,Auction: Dutch,Catch the Leader,End Game Bonuses,Hexagon Grid,Open Drafting,198,1,4,60,90
Captain Sonar,2016,7.5, 14,2.18,Party,Grid Movement,Hidden Movement,Line Drawing,Real-Time,Role Playing,199,2,8,45,60
Space Base,2018,7.5, 14,2.12,Family,Dice Rolling,Open Drafting,Random Production,,,200,2,5,60,60
Meadow,2021,7.8, 10,2.23,Family,Hand Management,Layering,Open Drafting,Set Collection,Solo / Solitaire Game,201,1,4,60,90
Go,-2200,7.6, 8,3.93,Abstract,Enclosure,Square Grid,,,,202,2,2,30,180
Village,2011,7.5, 12,3.07,Strategy,Area Majority / Influence,Contracts,Set Collection,Turn Order: Claim Action,Worker Placement,203,2,4,60,90
Clank!: Catacombs,2022,8.3, 13,2.53,Family,"Deck, Bag, and Pool Building",Delayed Purchase,End Game Bonuses,Movement Points,Open Drafting,204,2,4,45,90
Earth,2023,7.7, 13,2.87,Strategy,Contracts,End Game Bonuses,Follow,Hand Management,Pattern Building,205,1,5,45,90
Paleo,2020,7.7, 10,2.63,Strategy,Action/Event,Cooperative Game,Memory,Scenario / Mission / Campaign Game,Simultaneous Action Selection,206,1,4,45,60
Welcome to the Moon,2021,8.0, 10,2.51,Family,Bingo,Narrative Choice / Paragraph,Paper-and-Pencil,Pattern Building,Race,207,1,6,25,30
Splendor,2014,7.4, 10,1.78,Family,Contracts,Open Drafting,Race,Set Collection,,208,2,4,30,30
Tichu,1991,7.6, 10,2.34,Strategy,Hand Management,Ladder Climbing,Predictive Bid,Team-Based Game,,209,4,4,60,60
Modern Art,1992,7.5, 10,2.29,Strategy,Auction: English,Auction: Once Around,Auction: Sealed Bid,Auction: Turn Order Until Pass,Auction/Bidding,210,3,5,45,45
Star Realms: Colony Wars,2015,7.8, 12,1.9,Strategy,"Deck, Bag, and Pool Building",Delayed Purchase,Hand Management,Open Drafting,Take That,211,2,2,20,20
Carcassonne,2000,7.4, 7,1.9,Family,Area Majority / Influence,Map Addition,Pattern Recognition,Tile Placement,,212,2,5,30,45
Coimbra,2018,7.6, 14,3.25,Strategy,Action Drafting,Auction/Bidding,Dice Rolling,End Game Bonuses,Income,213,2,4,60,90
Planet Unknown,2022,7.9, 10,2.22,Strategy,Events,Grid Coverage,Hidden Victory Points,Map Addition,Network and Route Building,214,1,6,60,80
Darwin's Journey,2023,8.2, 14,3.85,Strategy,Contracts,Ownership,Point to Point Movement,Set Collection,Turn Order: Stat-Based,215,1,4,60,120
Combat Commander: Europe,2006,7.9, 12,3.25,Wargames,Advantage Token,Campaign / Battle Card Driven,Grid Movement,Hexagon Grid,Line of Sight,216,2,2,60,180
Near and Far,2017,7.7, 13,2.89,Thematic,Dice Rolling,Narrative Choice / Paragraph,Network and Route Building,Open Drafting,Scenario / Mission / Campaign Game,217,2,4,90,120
Hegemony: Lead Your Class to Victory,2023,8.5, 14,4.12,Strategy,Action/Event,Hand Management,Simulation,Variable Player Powers,Voting,218,2,4,90,180
Dinosaur Island,2017,7.6, 8,3.04,Strategy,Action Points,Dice Rolling,Income,Set Collection,Tile Placement,219,1,4,90,120
Ankh: Gods of Egypt,2021,7.8, 14,3.09,Strategy,Action Retrieval,Alliances,Area Majority / Influence,Auction: Sealed Bid,Card Play Conflict Resolution,220,2,5,90,90
Nations,2013,7.6, 14,3.55,Strategy,Events,Open Drafting,Turn Order: Pass Order,Variable Player Powers,,221,1,5,40,200
Under Falling Skies,2020,7.7, 12,2.39,Strategy,Dice Rolling,Modular Board,Once-Per-Game Abilities,Re-rolling and Locking,Scenario / Mission / Campaign Game,222,1,1,20,40
Calico,2020,7.6, 10,2.18,Abstract,Enclosure,End Game Bonuses,Grid Coverage,Hexagon Grid,Open Drafting,223,1,4,30,45
Nidavellir,2020,7.6, 10,2.1,Strategy,Auction: Multiple Lot,Constrained Bidding,Open Drafting,Selection Order Bid,Set Collection,224,2,5,45,45
Paths of Glory,1999,8.1, 14,3.85,Wargames,Campaign / Battle Card Driven,Dice Rolling,Point to Point Movement,,,225,2,2,480,480
Wonderland's War,2022,8.1, 13,3.0,Strategy,Area Majority / Influence,"Deck, Bag, and Pool Building",Dice Rolling,Open Drafting,Push Your Luck,226,2,5,45,125
YINSH,2003,7.7, 9,2.66,Abstract,Catch the Leader,Grid Movement,Pattern Building,,,227,2,2,30,60
My City,2020,7.7, 10,1.99,Family,Bingo,Catch the Leader,Enclosure,Grid Coverage,Legacy Game,228,2,4,30,30
Ticket to Ride,2004,7.4, 8,1.83,Family,Connections,Contracts,End Game Bonuses,Hand Management,Network and Route Building,229,2,5,30,60
Cyclades,2009,7.5, 13,2.82,Strategy,Area Majority / Influence,Area Movement,Auction: Fixed Placement,Auction/Bidding,Dice Rolling,230,2,5,60,90
La Granja,2014,7.6, 12,3.57,Strategy,Area Majority / Influence,Automatic Resource Growth,Contracts,Dice Rolling,Hand Management,231,1,4,90,120
Aeon's End: Legacy,2019,8.1, 14,2.86,Strategy,Cooperative Game,"Deck, Bag, and Pool Building",Hand Management,Legacy Game,Open Drafting,232,1,4,45,90
Codenames: Duet,2017,7.5, 11,1.36,Family,Communication Limits,Cooperative Game,Push Your Luck,,,233,2,2,15,30
Secret Hitler,2016,7.5, 13,1.74,Party,Hidden Roles,Player Elimination,Team-Based Game,Traitor Game,Voting,234,5,10,45,45
The Taverns of Tiefenthal,2019,7.6, 12,2.67,Family,"Deck, Bag, and Pool Building",Dice Rolling,Open Drafting,Worker Placement,Worker Placement with Dice Workers,235,2,4,60,60
Legendary: A Marvel Deck Building Game,2012,7.5, 14,2.43,Thematic,"Deck, Bag, and Pool Building",Events,Semi-Cooperative Game,Solo / Solitaire Game,Variable Set-up,236,1,5,30,60
Deception: Murder in Hong Kong,2014,7.5, 14,1.58,Party,Communication Limits,Deduction,Events,Finale Ending,Hidden Roles,237,4,12,20,20
Century: Golem Edition,2017,7.6, 8,1.69,Family,Action Retrieval,Contracts,"Deck, Bag, and Pool Building",Hand Management,Increase Value of Unchosen Resources,238,2,5,30,45
Hanamikoji,2013,7.5, 10,1.69,Family,Area Majority / Influence,Force Commitment,Hand Management,"I Cut, You Choose",Race,239,2,2,15,15
MicroMacro: Crime City,2020,7.5, 12,1.11,Family,Cooperative Game,Deduction,Scenario / Mission / Campaign Game,Solo / Solitaire Game,,240,1,4,15,45
Zombicide: Black Plague,2015,7.6, 14,2.49,Thematic,Cooperative Game,Dice Rolling,Modular Board,Scenario / Mission / Campaign Game,Turn Order: Progressive,241,1,6,60,180
Roll Player,2016,7.5, 10,2.43,Strategy,Dice Rolling,Open Drafting,Role Playing,Set Collection,Variable Player Powers,242,1,4,60,90
The Princes of Florence,2000,7.5, 12,3.24,Strategy,Auction/Bidding,End Game Bonuses,Grid Coverage,Tile Placement,Victory Points as a Resource,243,1,5,75,100
Kanban: Driver's Edition,2014,7.8, 12,4.36,Strategy,Action Points,Commodity Speculation,Variable Phase Order,Worker Placement,,244,2,4,90,120
Sushi Go Party!,2016,7.4, 8,1.3,Family,Closed Drafting,End Game Bonuses,Hand Management,Set Collection,Simultaneous Action Selection,245,2,8,20,20
Fantasy Realms,2017,7.5, 14,1.8,Family,End Game Bonuses,Hand Management,Open Drafting,Set Collection,,246,2,6,20,20
Flamme Rouge,2016,7.5, 8,1.68,Family,Catch the Leader,Hand Management,Modular Board,Programmed Movement,Race,247,2,4,30,45
"Unmatched: Battle of Legends, Volume One",2019,7.8, 9,1.93,Strategy,Action Points,Card Play Conflict Resolution,Hand Management,Line of Sight,Point to Point Movement,248,2,4,20,40
Detective: A Modern Crime Board Game,2018,7.7, 16,2.76,Thematic,Cooperative Game,Narrative Choice / Paragraph,Scenario / Mission / Campaign Game,Solo / Solitaire Game,Storytelling,249,1,5,120,180
Goa: A New Expedition,2004,7.6, 12,3.37,Strategy,Auction: Once Around,Auction/Bidding,Hand Management,Push Your Luck,Tech Trees / Tech Tracks,250,2,4,90,90
KLASK,2014,7.6, 8,1.06,Family,Real-Time,Score-and-Reset Game,,,,251,2,2,10,10
Santorini,2016,7.4, 8,1.73,Abstract,Grid Movement,Map Reduction,Race,Square Grid,Team-Based Game,252,2,4,20,20
Isle of Skye: From Chieftain to King,2015,7.4, 8,2.25,Family,Catch the Leader,Commodity Speculation,"I Cut, You Choose",Set Collection,Tile Placement,253,2,5,30,50
Chronicles of Crime,2018,7.6, 12,2.06,Thematic,Cooperative Game,Scenario / Mission / Campaign Game,Solo / Solitaire Game,Storytelling,,254,1,4,60,90
Glory to Rome,2005,7.5, 12,2.93,Strategy,End Game Bonuses,Follow,Hand Management,Multi-Use Cards,Set Collection,255,2,5,60,60
Pulsar 2849,2017,7.7, 14,3.35,Strategy,Dice Rolling,Open Drafting,Point to Point Movement,Worker Placement with Dice Workers,,256,2,4,60,90
Clash of Cultures: Monumental Edition,2021,8.4, 14,3.65,Strategy,Action Points,Dice Rolling,Grid Movement,Hand Management,Modular Board,257,2,4,180,240
Hallertau,2020,7.9, 12,3.3,Strategy,Advantage Token,Automatic Resource Growth,Contracts,End Game Bonuses,Hand Management,258,1,4,50,140
1830: Railways & Robber Barons,1986,7.9, 14,4.16,Strategy,Auction/Bidding,Hexagon Grid,Investment,Market,Network and Route Building,259,2,7,180,360
Hero Realms,2016,7.5, 12,1.86,Strategy,"Deck, Bag, and Pool Building",Hand Management,Once-Per-Game Abilities,Take That,,260,2,4,20,20
Shogun,2006,7.5, 12,3.36,Strategy,Action Queue,Area Majority / Influence,Area Movement,Auction/Bidding,Cube Tower,261,3,5,90,120
Samurai,1998,7.5, 10,2.47,Strategy,Area Majority / Influence,Hand Management,Hexagon Grid,Once-Per-Game Abilities,Set Collection,262,2,4,30,60
Camel Up (Second Edition),2018,7.6, 8,1.46,Family,Betting and Bluffing,Dice Rolling,Roll / Spin and Move,Track Movement,,263,3,8,30,45
Galaxy Trucker,2007,7.4, 10,2.33,Thematic,Dice Rolling,Events,Real-Time,Relative Movement,Team-Based Game,264,2,4,60,60
Vindication,2018,7.8, 14,3.08,Strategy,Area Majority / Influence,Dice Rolling,End Game Bonuses,Hexagon Grid,Map Addition,265,2,5,45,150
1960: The Making of the President,2007,7.6, 12,3.2,Strategy,Action/Event,Area Majority / Influence,Campaign / Battle Card Driven,Hand Management,Simulation,266,2,2,90,120
Viticulture,2013,7.5, 13,2.93,Strategy,Contracts,Hand Management,Income,Turn Order: Progressive,Worker Placement,267,2,6,90,90
Blood on the Clocktower,2022,8.3, 15,2.97,Party,Betting and Bluffing,Deduction,Hidden Roles,Negotiation,Prisoner's Dilemma,268,5,20,30,120
7 Wonders (Second Edition),2020,7.9, 10,2.3,Family,Closed Drafting,Hand Management,Neighbor Scope,Set Collection,Simultaneous Action Selection,269,3,7,30,30
Endless Winter: Paleoamericans,2022,7.8, 12,3.28,Strategy,Area Majority / Influence,"Deck, Bag, and Pool Building",End Game Bonuses,Hand Management,Income,270,1,4,60,120
Steam,2009,7.6, 10,3.46,Strategy,Auction/Bidding,Loans,Network and Route Building,Ownership,Pick-up and Deliver,271,3,5,90,90
T.I.M.E Stories,2015,7.4, 12,2.59,Thematic,Cooperative Game,Dice Rolling,Move Through Deck,Narrative Choice / Paragraph,Storytelling,272,2,4,90,90
Western Legends,2018,7.6, 14,2.83,Thematic,Action Points,Area Movement,Betting and Bluffing,Card Play Conflict Resolution,Dice Rolling,273,2,6,60,90
Tapestry,2019,7.4, 12,2.92,Strategy,Area Majority / Influence,Contracts,Dice Rolling,Events,Grid Coverage,274,1,5,90,120
Great Western Trail: Argentina,2022,8.5, 12,3.89,Strategy,"Deck, Bag, and Pool Building",Hand Management,Ownership,Set Collection,Solo / Solitaire Game,275,1,4,75,150
Lewis & Clark: The Expedition,2013,7.5, 14,3.33,Strategy,Action Retrieval,"Deck, Bag, and Pool Building",Delayed Purchase,Hand Management,Open Drafting,276,1,5,120,120
Bora Bora,2013,7.6, 12,3.73,Strategy,Dice Rolling,Set Collection,Worker Placement,Worker Placement with Dice Workers,,277,2,4,60,120
Kingdomino,2016,7.3, 8,1.22,Family,Open Drafting,Tile Placement,Turn Order: Stat-Based,,,278,2,4,15,25
Arcadia Quest,2014,7.6, 13,2.53,Thematic,Action Retrieval,Dice Rolling,Grid Movement,Line of Sight,Modular Board,279,2,4,60,60
Battle Line,2000,7.4, 12,1.89,Strategy,Card Play Conflict Resolution,Hand Management,Melding and Splaying,,,280,2,2,30,30
Rococo,2013,7.6, 12,3.08,Strategy,Action Retrieval,Area Majority / Influence,"Deck, Bag, and Pool Building",Delayed Purchase,Hand Management,281,2,5,60,120
Forgotten Waters,2020,7.8, 14,2.11,Thematic,Dice Rolling,Events,Narrative Choice / Paragraph,Scenario / Mission / Campaign Game,Semi-Cooperative Game,282,3,7,120,240
Anno 1800: The Board Game,2020,7.7, 12,3.15,Strategy,End Game Bonuses,Hand Management,Race,Tech Trees / Tech Tracks,Variable Set-up,283,2,4,120,120
Dixit: Odyssey,2011,7.4, 8,1.17,Party,Storytelling,Targeted Clues,Voting,,,284,3,12,30,30
Seasons,2012,7.4, 14,2.78,Strategy,Closed Drafting,Dice Rolling,Hand Management,Open Drafting,Take That,285,2,4,60,60
Cryptid,2018,7.5, 10,2.24,Family,Deduction,Hexagon Grid,Modular Board,Pattern Recognition,,286,3,5,30,50
Ethnos,2017,7.5, 14,2.04,Strategy,Area Majority / Influence,Hand Management,Open Drafting,Push Your Luck,Set Collection,287,2,6,45,60
Hive,2000,7.3, 9,2.32,Abstract,Enclosure,Grid Movement,Hexagon Grid,Pattern Movement,Pieces as Map,288,2,2,20,20
Imperial,2006,7.6, 13,3.56,Strategy,Advantage Token,Area Majority / Influence,Area Movement,Investment,Ownership,289,2,6,120,180
The Manhattan Project: Energy Empire,2016,7.8, 13,3.04,Strategy,Dice Rolling,Die Icon Resolution,End Game Bonuses,Events,Variable Player Powers,290,1,5,60,120
Indonesia,2005,7.9, 14,3.99,Strategy,Auction/Bidding,Pick-up and Deliver,Tech Trees / Tech Tracks,,,291,2,5,180,240
Marvel United,2020,7.6, 14,1.82,Family,Cooperative Game,Hand Management,Modular Board,Solo / Solitaire Game,Variable Player Powers,292,1,4,40,40
Monikers,2015,7.8, 17,1.08,Party,Acting,Communication Limits,Open Drafting,Role Playing,Singing,293,4,16,30,60
Star Realms: Frontiers,2018,7.9, 12,1.86,Strategy,Cooperative Game,"Deck, Bag, and Pool Building",Open Drafting,Player Elimination,Solo / Solitaire Game,294,1,4,20,45
Navegador,2010,7.5, 12,3.08,Strategy,Advantage Token,Area Movement,Market,Rondel,,295,2,5,60,90
Power Grid Deluxe: Europe/North America,2014,8.0, 12,3.19,Strategy,Auction: Turn Order Until Pass,Catch the Leader,Income,Market,Network and Route Building,296,2,6,120,120
Dice Throne: Season Two – Battle Chest,2018,8.1, 8,2.14,Family,Dice Rolling,Take That,Team-Based Game,Variable Player Powers,,297,2,6,20,40
Cthulhu Wars,2015,7.9, 14,3.15,Strategy,Action Points,Area Majority / Influence,Area Movement,Dice Rolling,Variable Player Powers,298,2,4,90,120
Dungeon Petz,2011,7.4, 13,3.62,Strategy,Auction/Bidding,Hand Management,Selection Order Bid,Simultaneous Action Selection,Worker Placement,299,2,4,90,90
Return to Dark Tower,2022,8.3, 10,2.65,Thematic,Area Movement,Cooperative Game,Events,Push Your Luck,Random Production,300,1,4,100,120
Age of Empires III: The Age of Discovery,2007,7.5, 10,3.13,Strategy,Area Majority / Influence,Set Collection,Turn Order: Claim Action,Worker Placement,"Worker Placement, Different Worker Types",301,2,5,90,120
Telestrations,2009,7.4, 12,1.07,Party,Drawing,Paper-and-Pencil,,,,302,4,8,30,30
Space Alert,2008,7.4, 12,2.97,Thematic,Action Queue,Area Movement,Cooperative Game,Elapsed Real Time Ending,Hand Management,303,1,5,30,30
Onitama,2014,7.4, 10,1.66,Abstract,Grid Movement,Hand Management,Pattern Movement,Square Grid,Static Capture,304,2,2,15,20
Nemo's War (Second Edition),2017,7.9, 13,3.26,Thematic,Action Points,Area Majority / Influence,Area Movement,Cooperative Game,Dice Rolling,305,1,4,60,120
Oath: Chronicles of Empire & Exile,2021,7.8, 10,4.1,Strategy,Action Points,Area Majority / Influence,Area Movement,Dice Rolling,Hand Management,306,1,6,45,150
Bitoku,2021,7.9, 12,3.71,Strategy,"Deck, Bag, and Pool Building",End Game Bonuses,Hand Management,Income,Set Collection,307,1,4,120,120
Imperial Settlers,2014,7.3, 10,2.77,Strategy,Closed Drafting,Contracts,End Game Bonuses,Hand Management,Income,308,1,4,45,90
Fury of Dracula (Third/Fourth Edition),2015,7.4, 14,3.28,Thematic,Card Play Conflict Resolution,Hand Management,Hidden Movement,Point to Point Movement,Resource to Move,309,2,5,120,180
Glass Road,2013,7.5, 13,2.95,Strategy,Automatic Resource Growth,End Game Bonuses,Follow,Once-Per-Game Abilities,Open Drafting,310,1,4,20,80
Kemet: Blood and Sand,2021,8.0, 13,3.23,Strategy,Action Points,Area Majority / Influence,Area Movement,Card Play Conflict Resolution,Hand Management,311,2,5,90,120
Summoner Wars: Master Set,2011,7.5, 9,2.52,Customizable,Deck Construction,Dice Rolling,Grid Movement,Hand Management,Stat Check Resolution,312,2,4,30,60
Imperial 2030,2009,7.7, 12,3.51,Strategy,Area Majority / Influence,Area Movement,Investment,Ownership,Rondel,313,2,6,120,180
Aeon's End: The New Age,2019,8.5, 14,2.95,Strategy,Cooperative Game,"Deck, Bag, and Pool Building",Hand Management,Open Drafting,Variable Phase Order,314,1,4,60,60
The King's Dilemma,2019,7.8, 14,2.26,Thematic,Bias,Bribery,End Game Bonuses,Legacy Game,Storytelling,315,3,5,45,60
Arkham Horror (Third Edition),2018,7.7, 14,3.35,Thematic,Cooperative Game,Dice Rolling,Modular Board,Point to Point Movement,Stat Check Resolution,316,1,6,120,180
Runewars,2010,7.6, 14,3.79,Strategy,Area Majority / Influence,Auction/Bidding,Grid Movement,Hexagon Grid,Modular Board,317,2,4,180,240
Mind MGMT: The Psychic Espionage “Game.”,2021,8.0, 13,2.9,Strategy,Deduction,Grid Movement,Hidden Movement,Paper-and-Pencil,Point to Point Movement,318,1,5,45,75
Alien Frontiers,2010,7.4, 13,2.57,Strategy,Area Majority / Influence,Dice Rolling,Open Drafting,Worker Placement with Dice Workers,,319,2,4,90,90
Century: Spice Road,2017,7.3, 8,1.8,Family,Action Retrieval,Auction: Dutch,Contracts,"Deck, Bag, and Pool Building",Hand Management,320,2,5,30,45
Heaven & Ale,2017,7.5, 12,3.2,Strategy,Grid Coverage,Highest-Lowest Scoring,Once-Per-Game Abilities,Rondel,Tile Placement,321,2,4,60,90
Tikal,1999,7.3, 10,2.78,Strategy,Action Points,Area Majority / Influence,Auction/Bidding,Grid Movement,Hexagon Grid,322,2,4,90,90
Survive: Escape from Atlantis!,1982,7.3, 8,1.69,Family,Action Points,Dice Rolling,Grid Movement,Hexagon Grid,Map Reduction,323,2,4,45,60
Bruges,2013,7.4, 13,2.75,Strategy,Dice Rolling,Hand Management,,,,324,2,4,60,60
Love Letter,2012,7.2, 10,1.19,Family,Deduction,Hand Management,Player Elimination,Score-and-Reset Game,Take That,325,2,4,20,20
Tiny Epic Galaxies,2015,7.3, 14,2.15,Strategy,Contracts,Dice Rolling,End Game Bonuses,Follow,Open Drafting,326,1,5,30,45
For Sale,1997,7.2, 10,1.25,Family,Auction: Sealed Bid,Auction: Turn Order Until Pass,Auction/Bidding,Hand Management,Selection Order Bid,327,3,6,30,30
Exit: The Game – The Abandoned Cabin,2016,7.4, 12,2.55,Thematic,Cooperative Game,,,,,328,1,6,60,120
Lost Cities,1999,7.2, 10,1.48,Family,Hand Management,Melding and Splaying,Ordering,Push Your Luck,Score-and-Reset Game,329,2,2,30,30
Antiquity,2004,7.9, 14,4.32,Strategy,Grid Coverage,Hexagon Grid,Modular Board,Square Grid,Tile Placement,330,2,4,120,180
Acquire,1963,7.3, 12,2.5,Strategy,Hand Management,Investment,Market,Square Grid,Stock Holding,331,2,6,90,90
Bunny Kingdom,2017,7.4, 12,2.3,Family,Area Majority / Influence,Closed Drafting,End Game Bonuses,Grid Coverage,Square Grid,332,2,4,40,60
Destinies,2021,7.8, 14,1.91,Thematic,Dice Rolling,Map Addition,Role Playing,Solo / Solitaire Game,Storytelling,333,1,3,90,150
Burgle Bros.,2015,7.4, 12,2.31,Family,Action Points,Cooperative Game,Dice Rolling,Grid Movement,Map Addition,334,1,4,45,90
The Great Zimbabwe,2012,7.8, 14,3.69,Strategy,Auction/Bidding,Mancala,Modular Board,Network and Route Building,Open Drafting,335,2,5,90,150
Awkward Guests: The Walton Case,2016,7.6, 12,2.32,Family,Deduction,Hand Management,Trading,,,336,1,8,45,75
Long Shot: The Dice Game,2022,7.7, 14,1.91,Family,Betting and Bluffing,Dice Rolling,End Game Bonuses,Paper-and-Pencil,Solo / Solitaire Game,337,1,8,25,25
Dead of Winter: The Long Night,2016,7.5, 14,3.35,Thematic,Action Points,Area Movement,Cooperative Game,Dice Rolling,Hand Management,338,2,5,60,120
Small World,2009,7.2, 8,2.35,Family,Area Majority / Influence,Area Movement,Dice Rolling,Hidden Victory Points,Increase Value of Unchosen Resources,339,2,5,40,80
Above and Below,2015,7.4, 13,2.52,Thematic,Action Points,Dice Rolling,Narrative Choice / Paragraph,Set Collection,Storytelling,340,2,4,90,90
Arboretum,2015,7.3, 8,2.14,Family,Hand Management,Pattern Building,Set Collection,Tile Placement,,341,2,4,30,30
Bonfire,2020,7.7, 12,3.64,Strategy,Market,Pattern Building,Point to Point Movement,Set Collection,Solo / Solitaire Game,342,1,4,70,100
The King Is Dead: Second Edition,2020,7.7, 14,2.12,Strategy,Area Majority / Influence,Campaign / Battle Card Driven,Communication Limits,Hand Management,Map Reduction,343,2,4,30,45
Nusfjord,2017,7.6, 12,2.84,Strategy,Worker Placement,,,,,344,1,5,20,100
Merchants & Marauders,2010,7.4, 13,3.25,Thematic,Action Points,Area Movement,Bias,Dice Rolling,Events,345,2,4,180,180
BattleLore: Second Edition,2013,7.7, 14,2.71,Wargames,Campaign / Battle Card Driven,Command Cards,Dice Rolling,Grid Movement,Modular Board,346,2,2,45,90
Lords of Hellas,2018,7.7, 14,3.34,Strategy,Area Majority / Influence,Area Movement,Card Play Conflict Resolution,Dice Rolling,Hand Management,347,1,4,60,90
Neuroshima Hex! 3.0,2006,7.4, 13,2.61,Strategy,Area Majority / Influence,Connections,Grid Movement,Hand Management,Hexagon Grid,348,1,4,30,30
Dungeon Lords,2009,7.4, 12,3.57,Strategy,Action Queue,Hand Management,Simultaneous Action Selection,Tile Placement,Worker Placement,349,2,4,90,90
Tiletum,2022,8.0, 14,3.41,Strategy,Action Points,Contracts,Dice Rolling,End Game Bonuses,Point to Point Movement,350,1,4,60,100
Chinatown,1999,7.4, 12,2.25,Family,Enclosure,Income,Investment,Negotiation,Set Collection,351,3,5,60,60
Tekhenu: Obelisk of the Sun,2020,7.7, 14,4.06,Strategy,Action Drafting,Income,Open Drafting,Pattern Building,Turn Order: Stat-Based,352,1,4,60,120
Bärenpark,2017,7.3, 8,1.66,Family,Grid Coverage,Open Drafting,Set Collection,Tile Placement,,353,2,4,30,45
Mission: Red Planet (Second Edition),2015,7.4, 14,2.21,Strategy,Action Retrieval,Area Majority / Influence,Area Movement,Hand Management,Simultaneous Action Selection,354,2,6,45,90
Sid Meier's Civilization: The Board Game,2010,7.4, 13,3.9,Strategy,"Deck, Bag, and Pool Building",Grid Movement,Hand Management,Modular Board,Open Drafting,355,2,4,120,240
Star Wars: The Deckbuilding Game,2023,8.0, 12,2.02,Strategy,"Deck, Bag, and Pool Building",Open Drafting,Tug of War,,,356,2,2,30,30
Letters from Whitechapel,2011,7.4, 14,2.64,Strategy,Hidden Movement,Memory,Point to Point Movement,Secret Unit Deployment,Team-Based Game,357,2,6,90,90
Skull King,2013,7.5, 8,1.69,Family,Predictive Bid,Rock-Paper-Scissors,Trick-taking,,,358,2,8,30,30
Dixit,2008,7.2, 8,1.2,Party,Race,Storytelling,Targeted Clues,Voting,,359,3,8,30,30
Imperium: Classics,2021,7.7, 14,3.57,Strategy,"Deck, Bag, and Pool Building",End Game Bonuses,Hand Management,Market,Move Through Deck,360,1,4,60,120
Innovation,2010,7.3, 12,2.76,Strategy,Advantage Token,Hand Management,Layering,Melding and Splaying,Take That,361,2,4,45,60
